lsoa_code,borough,major_category,minor_category,value,year,month
E01000633,Brent,Violence Against the Person,Wounding/GBH,1,2012,4
E01003130,Lambeth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,5
E01004221,Tower Hamlets,Violence Against the Person,Other violence,0,2008,5
E01003159,Lambeth,Theft and Handling,Other Theft,0,2008,11
E01003133,Lambeth,Robbery,Personal Property,1,2009,8
E01000317,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,6
E01003214,Lewisham,Robbery,Business Property,0,2008,11
E01004238,Tower Hamlets,Theft and Handling,Theft From Motor Vehicle,1,2012,6
E01002236,Harrow,Violence Against the Person,Wounding/GBH,0,2014,12
E01002667,Hounslow,Theft and Handling,Handling Stolen Goods,0,2015,9
E01003603,Newham,Criminal Damage,Criminal Damage To Other Building,1,2013,9
E01002993,Kingston upon Thames,Theft and Handling,Theft From Motor Vehicle,0,2015,9
E01001737,Hackney,Criminal Damage,Other Criminal Damage,0,2013,3
E01000089,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2008,2
E01002823,Kensington and Chelsea,Theft and Handling,Theft From Shops,1,2009,8
E01002942,Kingston upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,3
E01002342,Havering,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,11
E01002020,Haringey,Drugs,Possession Of Drugs,2,2016,1
E01002409,Hillingdon,Criminal Damage,Other Criminal Damage,0,2014,4
E01000891,Camden,Criminal Damage,Criminal Damage To Motor Vehicle,1,2009,11
E01004677,Westminster,Drugs,Possession Of Drugs,0,2016,6
E01003177,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,6
E01001798,Hackney,Theft and Handling,Theft/Taking of Pedal Cycle,0,2014,12
E01004587,Wandsworth,Drugs,Possession Of Drugs,0,2013,2
E01003205,Lewisham,Theft and Handling,Theft From Motor Vehicle,0,2014,1
E01032576,Harrow,Violence Against the Person,Harassment,0,2010,4
E01003685,Redbridge,Violence Against the Person,Wounding/GBH,0,2016,8
E01003454,Merton,Burglary,Burglary in a Dwelling,0,2014,5
E01002197,Harrow,Theft and Handling,Other Theft,0,2014,9
